"","Victim.s.age","Victim.s.gender","Victim.s.race","Date.of.injury.resulting.in.death..month.day.year.","Location.of.injury..address.","Location.of.death..city.","Location.of.death..state.","Location.of.death..zip.code.","Cause.of.death","Official.disposition.of.death..justified.or.other.","Unarmed"
"171","69","Male","Unknown race","8/4/2016","Upper Possum Creek Road","Gate City","VA",24251,"Gunshot","Pending investigation","Allegedly Armed"
"172","22","Male","White","8/4/2016","71 Red Gate Drive","Little Rock","AR",72210,"Beating","Pending investigation","Unarmed"
"173","56","Male","Hispanic","8/4/2016","4436 Calle Real","Santa Barbara","CA",93110,"Physical Restraint","Pending investigation","Unarmed"
"174","31","Male","White","8/3/2016","Fern Drive","Clearfield","UT",84015,"Gunshot","Pending investigation","Allegedly Armed"
"175","54","Male","White","8/3/2016","17729 Telegraph Rd","Detroit","MI",48219,"Gunshot","Pending investigation","Allegedly Armed"
"176","34","Male","White","8/2/2016","Interstate 84","Hammett","ID",83627,"Gunshot","Pending investigation","Allegedly Armed"
"177","22","Male","White","8/2/2016","Ron McNair Boulevard","Lake City","SC",29560,"Gunshot","Pending investigation","Allegedly Armed"
"178","51","Male","White","8/2/2016","31900 block Castaic Road","Castaic","CA",91384,"Gunshot","Pending investigation","Unarmed"
"179","43","Male","Black","8/2/2016","Lockheed Street","Palm Bay","FL",32909,"Gunshot","Pending investigation","Allegedly Armed"
"180","31","Male","White","8/2/2016","300 block 4th Avenue East","Alexandria","MN",56308,"Gunshot","Pending investigation","Allegedly Armed"
"181","23","Female","Black","8/1/2016","100 block Sulky Court","Randallstown","MD",21133,"Gunshot","Pending investigation","Allegedly Armed"
"182","43","Male","White","8/1/2016","100 block Glenda Ct","Lexington","SC",29073,"Gunshot","Pending investigation","Vehicle"
"183","26","Male","Hispanic","8/1/2016","2555 Jimmy Johnson Blvd","Port Arthur","TX",77640,"Tasered","Pending investigation","Unarmed"
"184","32","Male","Black","8/1/2016","600 N Ross St","Santa Ana","CA",92701,"Gunshot","Pending investigation","Unarmed"
"185","65","Male","White","8/1/2016","Cool Spring Road and Kings Highway","Fredericksburg","VA",22405,"Gunshot","Pending investigation","Allegedly Armed"
"186","40","Male","White","7/31/2016","Donald Ross Rd & Alton Rd","Palm Beach Gardens","FL",33418,"Vehicle","Pending investigation","Unarmed"
"187","32","Male","White","7/31/2016","Phillips Branch Rd","Phelps","KY",41553,"Gunshot","Pending investigation","Unarmed"
"188","18","Male","Unknown race","7/31/2016","Robin St","Manchester Township","NJ",8759,"Gunshot","Pending investigation","Allegedly Armed"
"189","38","Male","Hispanic","7/31/2016","400 block W 2nd St","Wapato","WA",98951,"Gunshot","Pending investigation","Unclear"
"190","40","Female","White","7/29/2016","317 W Valley Ave","Homewood","AL",35209,"Gunshot","Pending investigation","Allegedly Armed"
"191","33","Male","Unknown race","7/29/2016","LA 1 and LA 3235","Golden Meadow","LA",70357,"Vehicle","Pending investigation","Unarmed"
"192","59","Male","White","7/29/2016","4794 Big Johns Store Road","Pleasant Hill","NC",27866,"Gunshot","Pending investigation","Allegedly Armed"
"193","18","Male","Black","7/28/2016","7300 block S Merrill Ave","Chicago","IL",60649,"Gunshot","Pending investigation","Unarmed"
"194","27","Male","Black","7/28/2016","800 block W Stockwell St","Compton","CA",90222,"Gunshot","Pending investigation","Unarmed"
"195","36","Male","Hispanic","7/28/2016","1200 Atwood Pl","Los Angeles","CA",90063,"Gunshot","Pending investigation","Allegedly Armed"
"196","47","Male","Black","7/28/2016","52200 block Jefferson Street","La Quinta","CA",92253,"Gunshot","Pending investigation","Unclear"
"197","41","Male","Hispanic","7/28/2016","1st St and Richards Way","Sparks","NV",89431,"Gunshot","Pending investigation","Allegedly Armed"
"198","31","Male","Hispanic","7/28/2016","N Campbell Ave and E 8th St","Tucson","AZ",85719,"Gunshot","Pending investigation","Allegedly Armed"
"199","33","Male","White","7/27/2016","200 block Circle Dr","Estill Springs","TN",37330,"Gunshot","Pending investigation","Allegedly Armed"
"200","20","Male","White","7/27/2016","US-191","Malta","MT",59538,"Gunshot","Pending investigation","Allegedly Armed"
"201","37","Male","Black","7/27/2016","35th Avenue and Indian School Road","Phoenix","AZ",85019,"Gunshot","Pending investigation","Unclear"
"202","24","Male","Hispanic","7/27/2016","1800 block N Mt Vernon Ave","San Bernardino","CA",92411,"Gunshot","Pending investigation","Allegedly Armed"
"203","24","Male","White","7/27/2016","9301 E Shea Blvd","Scottsdale","AZ",85260,"Gunshot","Pending investigation","Allegedly Armed"
"204","19","Male","Black","7/27/2016","6100 block Rural Road","Tempe","AZ",85283,"Gunshot","Pending investigation","Unarmed"
"205","36","Male","Hispanic","7/26/2016","605 W Runyan Ave","Artesia","NM",88210,"Gunshot","Pending investigation","Allegedly Armed"
"206","17","Male","Black","7/26/2016","4013 N Interstate 10 Service Rd W","Metairie","LA",70002,"Gunshot","Pending investigation","Allegedly Armed"
"207","50","Male","White","7/26/2016","Hillview Road","Pine River","WI",54452,"Gunshot","Pending investigation","Allegedly Armed"
"208","32","Male","Hispanic","7/26/2016","4200 block Hillview Dr","Pittsburg","CA",94565,"Beating","Pending investigation","Unarmed"
"209","58","Male","White","7/26/2016","6700 block Old River Road","Rockford","IL",61103,"Beating","Pending investigation","Unarmed"
"210","25","Male","White","7/25/2016","Patterson Rd and Winchester Dr","Walland","TN",37886,"Tasered","Pending investigation","Unarmed"
"211","23","Female","White","7/25/2016","NW Regency Street","Bend","OR",97701,"Vehicle","Pending investigation","Unarmed"
"212","31","Male","Black","7/25/2016","2700 block Newton Avenue","Indianapolis","IN",46201,"Gunshot","Pending investigation","Allegedly Armed"
"213","29","Male","Native American","7/24/2016","300 block Arnold St","Gallup","NM",87301,"Gunshot","Pending investigation","Allegedly Armed"
"214","18","Male","Black","7/24/2016","E 111th St & Antwerp St","Los Angeles","CA",90059,"Gunshot","Pending investigation","Allegedly Armed"
"215","36","Male","White","7/24/2016","W Stetson Ave & Lawrence Ct","Winchester","CA",92545,"Gunshot","Pending investigation","Allegedly Armed"
"216","31","Male","Black","7/23/2016","12100 block Central Ave","Chino","CA",91710,"Gunshot","Pending investigation","Allegedly Armed"
