"","Victim.s.age","Victim.s.gender","Victim.s.race","Date.of.injury.resulting.in.death..month.day.year.","Location.of.injury..address.","Location.of.death..city.","Location.of.death..state.","Location.of.death..zip.code.","Cause.of.death","Official.disposition.of.death..justified.or.other.","Unarmed"
"510","28","Male","Black","4/18/2016","6200 Springhill Ct","Greenbelt","MD",20770,"Gunshot","Pending investigation","Allegedly Armed"
"511","35","Female","Black","4/17/2016","3100 Wexford Pl","Dayton","OH",45417,"Gunshot","Pending investigation","Allegedly Armed"
"512","22","Male","Unknown race","4/17/2016","7200 Tierra Taos Dr","El Paso","TX",79912,"Gunshot","Pending investigation","Unarmed"
"513","32","Male","Black","4/17/2016","116th Ave and 135th St","New York","NY",11420,"Gunshot","Pending investigation","Allegedly Armed"
"514","38","Male","Black","4/17/2016","6th Ave","Troy","NY",12180,"Gunshot","Pending investigation","Vehicle"
"515","31","Male","Black","4/17/2016","S East Ave and Almond St","Vineland","NJ",8360,"Gunshot","Pending investigation","Allegedly Armed"
"516","52","Male","White","4/16/2016","26211 Illinois Route 173","Antioch","IL",60002,"Gunshot","Pending investigation","Allegedly Armed"
"517","44","Male","Black","4/15/2016","1400 W Baltimore St","Baltimore","MD",21223,"Gunshot","Pending investigation","Allegedly Armed"
"518","52","Male","White","4/15/2016","300 SW Whitetail Dr","Cache","OK",73527,"Gunshot","Pending investigation","Allegedly Armed"
"519","38","Male","Hispanic","4/15/2016","300 W Heald Ave","Lake Elsinore","CA",92530,"Gunshot","Pending investigation","Allegedly Armed"
"520","26","Male","White","4/15/2016","4200 E Jackson St","Muncie","IN",47303,"Gunshot","Pending investigation","Unclear"
"521","Unknown","Male","Unknown race","4/14/2016","19th Ave and E Kansas Ave","McPherson","KS",67460,"Gunshot","Pending investigation","Unarmed"
"522","35","Male","Black","4/13/2016","West Lane and Knickerbocker Drive","Stockton","CA",95210,"Gunshot","Pending investigation","Unclear"
"523","52","Male","White","4/13/2016","Texas Hwy 71 and County Rd 305","Llano","TX",78643,"Gunshot","Pending investigation","Allegedly Armed"
"524","26","Male","White","4/13/2016","Post Oak Bridge Rd","Sparta","TN",38583,"Gunshot","Pending investigation","Allegedly Armed"
"525","40","Male","White","4/12/2016","Bannock St and W 14th Ave Pkwy","Denver","CO",80202,"Gunshot","Pending investigation","Unarmed"
"526","38","Male","Hispanic","4/12/2016","Illinois Hwy 37","Benton","IL",62812,"Gunshot","Pending investigation","Allegedly Armed"
"527","20","Male","White","4/12/2016","","Noma","FL",32425,"Gunshot","Pending investigation","Unclear"
"528","16","Male","Black","4/11/2016","3400 West Grenshaw Street","Chicago","IL",60624,"Gunshot","Pending investigation","Allegedly Armed"
"529","22","Male","Hispanic","4/11/2016","2000 Paradise Rd","Las Vegas","NV",89104,"Gunshot","Pending investigation","Unclear"
"530","27","Male","Hispanic","4/10/2016","1400 Gabriel Garcia Marquez St","Los Angeles","CA",90033,"Gunshot","Pending investigation","Allegedly Armed"
"531","29","Male","Hispanic","4/10/2016","1700 Getwell Rd","Memphis","TN",38111,"Gunshot","Pending investigation","Allegedly Armed"
"532","39","Male","White","4/10/2016","Lance St","Modesto","CA",95354,"Gunshot","Pending investigation","Allegedly Armed"
"533","30","Male","White","4/10/2016","1061 Roberta Rd","Rotterdam","NY",12303,"Gunshot","Justified","Allegedly Armed"
"534","27","Male","Black","4/9/2016","Somerset St & Home St","New Brunswick","NJ",8873,"Gunshot","Pending investigation","Allegedly Armed"
"535","19","Male","Black","4/9/2016","5700 Park Avenue","Philadelphia","PA",19141,"Gunshot","Pending investigation","Allegedly Armed"
"536","43","Male","Black","4/8/2016","Edington Dr. and Breton Rd.","Kentwood","MI",49512,"Gunshot","Pending investigation","Allegedly Armed"
"537","25","Female","White","4/8/2016","2786 Commercial Blvd","Lake Hallie","WI",54729,"Gunshot","Justified","Allegedly Armed"
"538","40","Male","Black","4/8/2016","7600 Prescott Way","Sacramento","CA",95823,"Gunshot","Pending investigation","Allegedly Armed"
"539","41","Male","White","4/7/2016","320 State Hwy 388","Gould","AR",71643,"Gunshot","Pending investigation","Unarmed"
"540","41","Male","Black","4/7/2016","201 West Oklahoma Avenue","Anadarko","OK",73005,"Physical restraint","Pending investigation","Unarmed"
"541","44","Male","White","4/7/2016","L St and S 31st St","Omaha","NE",68107,"Gunshot","Pending investigation","Vehicle"
"542","45","Male","Hispanic","4/7/2016","Shotwell St","San Francisco","CA",94110,"Gunshot","Pending investigation","Allegedly Armed"
"543","40","Female","Black","4/6/2016","200 Chaffin Court","Gallatin","TN",37066,"Gunshot","Pending investigation","Allegedly Armed"
"544","60","Male","White","4/6/2016","1449 Monroe Hollow Rd","Oak Hill","OH",45656,"Gunshot","Pending investigation","Allegedly Armed"
"545","20","Male","Hispanic","4/6/2016","14700 Lakeside St","Los Angeles","CA",91342,"Gunshot","Pending investigation","Allegedly Armed"
"546","39","Male","White","4/6/2016","2020 26th Ave E","Bradenton","FL",34208,"Taser","Pending investigation","Unarmed"
"547","44","Male","Black","4/5/2016","1001 N Rural St","Indianapolis","IN",46201,"Gunshot","Pending investigation","Unarmed"
"548","52","Male","White","4/5/2016","24 Myron St","West Springfield","MA",1089,"Gunshot","Pending investigation","Allegedly Armed"
"549","50","Male","Hispanic","4/4/2016","2100 Minnehaha Ave","Minneapolis","MN",55404,"Gunshot","Pending investigation","Allegedly Armed"
"550","36","Female","White","4/3/2016","Red Creek Rd","Notasulga","AL",36866,"Gunshot","Justified","Unclear"
"551","25","Male","White","4/3/2016","508 West Ave","Austin","TX",78703,"Gunshot","Pending investigation","Allegedly Armed"
"552","69","Male","White","4/3/2016","2611 W Moholt Dr","Eau Claire","WI",54703,"Gunshot","Pending investigation","Unclear"
"553","26","Male","Hispanic","4/2/2016","Beulah Street and Old Beulah Street","Alexandria","VA",22315,"Vehicle","Pending investigation","Unarmed"
"554","30","Male","Black","4/2/2016","4645 W 38th St","Indianapolis","IN",46222,"Gunshot","Pending investigation","Allegedly Armed"
"555","34","Male","Black","4/2/2016","LA 98 and Desoto Road","Carencro","LA",70520,"Vehicle","Pending investigation","Unarmed"
"556","65","Male","Hispanic","4/1/2016","1000 S Main St","Lockhart","TX",78644,"Gunshot","Pending investigation","Unarmed"
"557","38","Male","Hispanic","4/1/2016","3001 E Business Loop 20","Odessa","TX",79761,"Gunshot","Pending investigation","Allegedly Armed"
"558","18","Male","Black","3/31/2016","400 E Lanvale St","Baltimore","MD",21202,"Gunshot","Pending investigation","Allegedly Armed"
"559","43","Male","Black","3/31/2016","400 E Lanvale St","Baltimore","MD",21202,"Gunshot","Pending investigation","Allegedly Armed"
"560","67","Male","Black","3/31/2016","Summit Ave and Ross Ave","Paramus","NJ",7601,"Vehicle","Pending investigation","Unarmed"
"561","34","Male","Black","3/31/2016","2910 N Boulevard","Richmond","VA",21202,"Gunshot","Pending investigation","Allegedly Armed"
"562","52","Male","White","3/30/2016","210 James Moore Drive","Jackson","GA",30233,"Gunshot","Pending investigation","Allegedly Armed"
"563","33","Male","Unknown race","3/30/2016","6400 Northside Dr","East Los Angeles","CA",90022,"Gunshot","Pending investigation","Allegedly Armed"
"564","25","Male","Unknown race","3/30/2016","77th Avenue and Bethany Home Road","Glendale","AZ",85303,"Gunshot","Pending investigation","Allegedly Armed"
"565","50","Female","White","3/29/2016","340th Ave and Highway 210","Aitkin","MN",56431,"Gunshot","Pending investigation","Allegedly Armed"
"566","46","Male","White","3/29/2016","3200 Park St","Clearlake","CA",95422,"Gunshot","Pending investigation","Unclear"
"567","51","Male","White","3/29/2016","W Gantt Cir","Piedmont","SC",29673,"Gunshot","Pending investigation","Allegedly Armed"
"568","34","Male","White","3/27/2016","200 NW Hickory St","Lee's Summit","MO",64064,"Gunshot","Pending investigation","Allegedly Armed"
"569","33","Male","White","3/27/2016","14600 Ashland Drive","Splendora","TX",77372,"Gunshot","Pending investigation","Allegedly Armed"
"570","18","Male","Black","3/27/2016","2644 Crepe Myrtle St","Kinston","NC",28504,"Gunshot","Pending investigation","Allegedly Armed"
"571","27","Female","Native American","3/27/2016","323 N Williamson Ave","Winslow","AZ",86047,"Gunshot","Pending investigation","Unclear"
"572","36","Male","White","3/26/2016","1600 Old Home Creek Rd","Grundy","VA",24614,"Gunshot","Pending investigation","Allegedly Armed"
"573","39","Male","Hispanic","3/26/2016","75 Cambridge St","Lowell","MA",1851,"Gunshot","Pending investigation","Allegedly Armed"
"574","55","Male","Unknown race","3/26/2016","Robert M Grissom Pkwy and 21st Ave N","Myrtle Beach","SC",29577,"Gunshot","Pending investigation","Allegedly Armed"
"575","33","Male","White","3/26/2016","700 S Aspen Ave","Roswell","NM",88203,"Gunshot","Pending investigation","Allegedly Armed"
"576","46","Male","White","3/26/2016","11408 N 30th St","Tampa","FL",33610,"Gunshot","Pending investigation","Allegedly Armed"
"577","44","Male","White","3/24/2016","Liberty Street and East Division Street","Braintree","MA",2184,"Gunshot","Pending investigation","Allegedly Armed"
"578","32","Male","White","3/24/2016","106 Santa Rosa Blvd","Okaloosa Island","FL",32548,"Gunshot","Pending investigation","Unclear"
"579","22","Male","Black","3/24/2016","1701 Nw State Route 7","Blue Springs","MO",64014,"Gunshot","Pending investigation","Allegedly Armed"
"580","24","Male","Black","3/24/2016","Webster St","Pawtucket","RI",2860,"Gunshot","Pending investigation","Unarmed"
"581","19","Male","Hispanic","3/24/2016","14500 Central Ave SW","Albuquerque","NM",87121,"Gunshot","Pending investigation","Allegedly Armed"
"582","48","Male","Hispanic","3/24/2016","2600 E 8th St","Pueblo","CO",81001,"Gunshot","Pending investigation","Allegedly Armed"
"583","29","Male","White","3/24/2016","602 Orange St","Redlands","CA",92374,"Gunshot","Pending investigation","Allegedly Armed"
"584","34","Male","Hispanic","3/23/2016","N Blackstone Ave","Fresno","CA",93704,"Gunshot","Pending investigation","Allegedly Armed"
"585","30","Male","Black","3/23/2016","3400 Dillard Rd","Memphis","TN",38128,"Gunshot","Pending investigation","Allegedly Armed"
"586","51","Male","Unknown race","3/23/2016","Grant St","Thornton","CO",80229,"Gunshot","Pending investigation","Allegedly Armed"
"587","33","Male","White","3/22/2016","Braehead Dr and Kinloch Dr","Fredericksburg","VA",22401,"Gunshot","Pending investigation","Unclear"
"588","25","Male","Hispanic","3/22/2016","8800 SW 183rd Terrace","Palmetto Bay","FL",33176,"Gunshot","Pending investigation","Allegedly Armed"
"589","76","Male","White","3/21/2016","101 College St","Burlington","VT",5401,"Gunshot","Pending investigation","Allegedly Armed"
"590","28","Male","White","3/21/2016","1400 Broad St","Greensburg","PA",15601,"Gunshot","Pending investigation","Allegedly Armed"
"591","25","Male","White","3/21/2016","119 Wedgemere Rd","Stamford","CT",6905,"Gunshot","Justified","Unarmed"
"592","16","Male","Black","3/20/2016","5800 SW 20th Ave","Gainesville","FL",32607,"Gunshot","Pending investigation","Unarmed"
"593","62","Male","Hispanic","3/20/2016","310 Rudisill Blvd","Fort Wayne","IN",46806,"Gunshot","Pending investigation","Allegedly Armed"
"594","61","Male","White","3/20/2016","600 Winston Churchill Dr","Hopewell","VA",23860,"Gunshot","Pending investigation","Allegedly Armed"
"595","55","Male","White","3/20/2016","Pennsylvania Turnpike","Fort Littleton","PA",17223,"Gunshot","Pending investigation","Allegedly Armed"
"596","23","Male","White","3/19/2016","Dragline Rd","White Plains","KY",42442,"Gunshot","Pending investigation","Allegedly Armed"
"597","25","Female","Black","3/19/2016","9500 Shore Dr","Norfolk","VA",23518,"Gunshot","Pending investigation","Unarmed"
"598","21","Male","Black","3/19/2016","300 Neola St","Park Forest","IL",60466,"Gunshot","Pending investigation","Allegedly Armed"
"599","35","Male","Black","3/19/2016","9200 Dresden Lane","Port Richey","FL",23518,"Taser","Pending investigation","Unarmed"
"600","24","Male","White","3/19/2016","3rd Ave","Covington","LA",70433,"Gunshot","Pending investigation","Unclear"
"601","49","Male","Unknown race","3/18/2016","Hoffman Ln","Byron","CA",94514,"Gunshot","Pending investigation","Allegedly Armed"
"602","60","Male","White","3/18/2016","3100 Channing Way","Idaho Falls","ID",83404,"Gunshot","Pending investigation","Unclear"
"603","38","Male","Asian","3/17/2016","2901 Minnesota Hwy 13","Burnsville","MN",55337,"Gunshot","Pending investigation","Unclear"
"604","29","Male","Black","3/17/2016","11314 North Freeway","Houston","TX",77037,"Gunshot","Pending investigation","Unclear"
"605","30","Male","Black","3/17/2016","11314 North Freeway","Houston","TX",77037,"Gunshot","Pending investigation","Unclear"
"606","37","Male","White","3/17/2016","157 Wildwood Road","Midland","PA",15059,"Gunshot","Pending investigation","Allegedly Armed"
"607","53","Male","Asian","3/17/2016","3312 W Cherokee Ave","Tampa","FL",33611,"Gunshot","Pending investigation","Allegedly Armed"
"608","40","Male","White","3/16/2016","Blewett Falls Rd","Lilesville","NC",28379,"Gunshot","Pending investigation","Allegedly Armed"
"609","16","Male","Black","3/16/2016","Reisterstown Road and Liberty Heights Avenue","Baltimore","MD",21215,"Vehicle","Pending investigation","Unarmed"
"610","13","Male","Black","3/16/2016","Reisterstown Road and Liberty Heights Avenue","Baltimore","MD",21215,"Vehicle","Pending investigation","Unarmed"
"611","25","Male","Hispanic","3/16/2016","20000 Ochoa Rd","Apple Valley","CA",92307,"Gunshot","Pending investigation","Unclear"
"612","23","Male","Hispanic","3/16/2016","Holmes Ave and E 64th St","Los Angeles","CA",90001,"Gunshot","Pending investigation","Unarmed"
"613","55","Male","Hispanic","3/16/2016","416 137th St","New York","NY",10454,"Physical restraint","Pending investigation","Unarmed"
"614","33","Male","Hispanic","3/16/2016","300 E Pyron Ave","San Antonio","TX",78214,"Gunshot","Pending investigation","Allegedly Armed"
"615","38","Male","White","3/15/2016","3300 Morgan Ave","Evansville","IN",47715,"Gunshot","Pending investigation","Allegedly Armed"
"616","42","Male","White","3/15/2016","I-30 and Hulen","Fort Worth","TX",76108,"Gunshot","Pending investigation","Allegedly Armed"
"617","34","Male","White","3/15/2016","Armory Dr and N Main St","Russellville","KY",42276,"Gunshot","Pending investigation","Allegedly Armed"
"618","29","Male","Black","3/14/2016","3700 W Polk St","Chicago","IL",60624,"Gunshot","Pending investigation","Allegedly Armed"
"619","38","Female","White","3/13/2016","9600 NE 81st St","Vancouver","WA",98662,"Gunshot","Pending investigation","Allegedly Armed"
"620","16","Male","Hispanic","3/13/2016","Spring Valley Rd and Marsh Ln","Addison","TX",75001,"Gunshot","Charged with murder","Unarmed"
"621","52","Male","Unknown race","3/13/2016","William Natcher Parkway","Bowling Green","KY",42101,"Taser","Pending investigation","Unarmed"
"622","30","Male","White","3/13/2016","I-75 and Highway 321","Lenoir City","TN",37771,"Gunshot","Pending investigation","Unarmed"
"623","26","Male","White","3/13/2016","Sanford Rd","Piedmont","AL",36272,"Gunshot","Pending investigation","Allegedly Armed"
"624","28","Male","Black","3/13/2016","7600 Barlowe Road","Landover","MD",20785,"Gunshot","Pending investigation","Allegedly Armed"
"625","45","Male","White","3/13/2016","100 S Glendale Ave","Glendale","CA",91205,"Gunshot","Pending investigation","Unclear"
"626","24","Male","Black","3/12/2016","Parker St and Union St","Chester","PA",19013,"Gunshot","Pending investigation","Allegedly Armed"
"627","43","Male","White","3/12/2016","1606 Efland Drive","Greensboro","NC",27408,"Gunshot","Pending investigation","Allegedly Armed"
"628","20","Male","Black","3/12/2016","3833 Cypress Creek Pkwy","Houston","TX",77068,"Gunshot","Pending investigation","Unarmed"
"629","37","Male","Black","3/12/2016","Eastex Freeway Service Rd and Collingsworth St","Houston","TX",77020,"Gunshot","Pending investigation","Unarmed"
"630","49","Male","White","3/12/2016","Birch Run Rd","Birch Run","MI",48415,"Vehicle","Pending investigation","Allegedly Armed"
"631","51","Male","White","3/11/2016","SE 10th St","Rosalia","KS",67132,"Gunshot","Pending investigation","Allegedly Armed"
"632","46","Male","White","3/11/2016","101 E Benton St","Clinton","IL",61727,"Gunshot","Pending investigation","Allegedly Armed"
"633","23","Male","Hispanic","3/11/2016","5724 Thornton Ave","Newark","CA",94560,"Gunshot","Pending investigation","Allegedly Armed"
"634","25","Male","Black","3/11/2016","Chesapeake Blvd and Fishermans Rd","Norfolk","VA",23518,"Gunshot","Pending investigation","Allegedly Armed"
"635","37","Male","White","3/10/2016","Popps Ferry Bridge","Biloxi","MS",39532,"Gunshot","Pending investigation","Allegedly Armed"
"636","23","Male","Hispanic","3/10/2016","8950 I-25","Colorado City","CO",81004,"Gunshot","Pending investigation","Unclear"
"637","21","Male","Hispanic","3/10/2016","E 68th St and Orcutt Ave","Long Beach","CA",90805,"Gunshot","Pending investigation","Allegedly Armed"
"638","22","Male","Black","3/10/2016","Lemmon Dr","Reno","NV",89506,"Gunshot","Pending investigation","Unarmed"
"639","50","Male","White","3/10/2016","1209 Douglas Drive","Odessa","TX",79762,"Gunshot","Pending investigation","Allegedly Armed"
"640","27","Male","White","3/8/2016","Swallowtail Ct","Tampa","FL",33613,"Gunshot","Pending investigation","Unarmed"
"641","42","Male","White","3/7/2016","S 1st St","Joliet","MT",59041,"Gunshot","Pending investigation","Allegedly Armed"
"642","41","Male","Hispanic","3/7/2016","N Happy Valley Rd and W Texas St","Carlsbad","NM",88220,"Gunshot","Pending investigation","Unclear"
"643","49","Male","White","3/7/2016","3700 Lake Ave","Rochester","NY",14612,"Gunshot","Pending investigation","Allegedly Armed"
"644","45","Male","White","3/7/2016","S 3rd St and Martha St","San Jose","CA",95112,"Gunshot","Pending investigation","Allegedly Armed"
"645","28","Male","Hispanic","3/7/2016","El Dorado St and E Clay St","Stockton","CA",95206,"Taser","Pending investigation","Unarmed"
"646","28","Male","Hispanic","3/7/2016","El Dorado and Clay Street","Stockton","CA",95206,"Taser","Pending investigation","Unarmed"
"647","45","Male","White","3/7/2016","504 SW Taylor St","Topeka","KS",66603,"Gunshot","Pending investigation","Unclear"
"648","51","Male","White","3/6/2016","600 Alameda Rd","Azle","TX",76020,"Gunshot","Pending investigation","Allegedly Armed"
"649","42","Male","White","3/6/2016","E Rosser Ave and N 32nd St","Bismarck","ND",58501,"Gunshot","Pending investigation","Unarmed"
"650","41","Male","Hispanic","3/6/2016","Tweedy Blvd and Burtis St","South Gate","CA",90280,"Gunshot","Pending investigation","Allegedly Armed"
"651","22","Male","White","3/5/2016","600 S 23rd St","Beaumont","TX",77707,"Gunshot","Pending investigation","Allegedly Armed"
"652","34","Male","White","3/5/2016","4600 Genesee St","Buffalo","NY",14225,"Gunshot","Pending investigation","Allegedly Armed"
"653","30","Male","White","3/4/2016","700 KY-3094","East Bernstadt","KY",40729,"Gunshot","Pending investigation","Unclear"
"654","66","Male","White","3/4/2016","","Mount Ida","AR",71957,"Gunshot","Pending investigation","Unclear"
"655","37","Male","White","3/3/2016","Country Store Rd and US-70","Selma","NC",27576,"Taser","Indicted, charged with manslaughter","Unarmed"
"656","27","Male","Hispanic","3/3/2016","S Lindsay Rd and E Warner Rd","Gilbert","AZ",85296,"Gunshot","Pending investigation","Allegedly Armed"
"657","36","Male","White","3/2/2016","Althea Ct","Bel Air","MD",21015,"Gunshot","Pending investigation","Unarmed"
"658","41","Male","White","3/2/2016","Spickler Alley","Johnstown","PA",15906,"Gunshot","Pending investigation","Allegedly Armed"
"659","22","Male","Hispanic","3/1/2016","508 Simmons Dr","Euless","TX",76040,"Gunshot","Pending investigation","Allegedly Armed"
"660","37","Male","White","3/1/2016","7300 Home of Grace Dr","Gautier","MS",39553,"Gunshot","Pending investigation","Allegedly Armed"
"661","39","Male","Hispanic","3/1/2016","Mariposa Dr NE","Palm Bay","FL",32905,"Gunshot","Pending investigation","Allegedly Armed"
"662","24","Male","Black","2/29/2016","Bragg St","Raleigh","NC",27601,"Gunshot","Pending investigation","Unclear"
"663","41","Male","White","2/28/2016","285 5th Ave","Ashville","AL",35953,"Gunshot","Pending investigation","Allegedly Armed"
"664","44","Male","White","2/28/2016","30 Main St","Rapid City","SD",57701,"Gunshot","Pending investigation","Allegedly Armed"
"665","23","Male","Hispanic","2/27/2016","US-181","Floresville","TX",78114,"Gunshot","Pending investigation","Allegedly Armed"
"666","35","Male","White","2/26/2016","Twilight Dr and Concourse Dr","Rapid City","SD",57703,"Gunshot","Pending investigation","Unclear"
"667","18","Male","Black","2/26/2016","4049 Brambleton Ave","Cave Spring","VA",24018,"Gunshot","Pending investigation","Unarmed"
"668","31","Male","White","2/25/2016","Van Buren Street and 22nd Avenue","Bellevue","NE",68005,"Taser","Pending investigation","Unarmed"
"669","37","Male","White","2/25/2016","US-85","Evans","CO",80620,"Gunshot","Pending investigation","Allegedly Armed"
"670","38","Male","Black","2/25/2016","200 S Ridge Rd","Hesston","KS",67062,"Gunshot","Pending investigation","Allegedly Armed"
"671","19","Male","White","2/25/2016","1280 Lincoln Hwy","Silver Springs","NV",89429,"Gunshot","Pending investigation","Allegedly Armed"
"672","56","Male","Black","2/25/2016","3200 McElvy St","Montgomery","AL",36108,"Gunshot","Charged with murder","Unarmed"
"673","16","Male","White","2/24/2016","1500 SW 20 St","Blue Springs","MO",64015,"Gunshot","Pending investigation","Allegedly Armed"
"674","26","Male","Hispanic","2/24/2016","Alondra Blvd and Studebaker Rd","Norwalk","CA",90650,"Gunshot","Pending investigation","Vehicle"
"675","58","Male","White","2/24/2016","36 Iris Dr","Bailey","CO",80421,"Gunshot","Pending investigation","Allegedly Armed"
"676","27","Male","Hispanic","2/24/2016","75th Ave and McDowell Rd","Phoenix","AZ",85035,"Gunshot","Pending investigation","Vehicle"
"677","21","Male","Black","2/24/2016","N8416 County Rd ES","East Troy","WI",53120,"Gunshot","Pending investigation","Unclear"
"678","48","Male","Black","2/23/2016","Terrace Ave","Baton Rouge","LA",70802,"Gunshot","Pending investigation","Vehicle"
"679","40","Male","Hispanic","2/23/2016","3200 Telephone Rd","Houston","TX",77023,"Gunshot","Pending investigation","Allegedly Armed"
"680","36","Male","White","2/23/2016","22700 Jack Tone Rd","Ripon","CA",95366,"Gunshot","Pending investigation","Allegedly Armed"
"681","26","Male","White","2/23/2016","4800 W Sunnyside Ave","Glendale","AZ",85304,"Gunshot","Pending investigation","Allegedly Armed"
"682","38","Female","Native American","2/22/2016","Hawk Ln","Houston","AK",99654,"Gunshot","Pending investigation","Allegedly Armed"
"683","45","Male","White","2/22/2016","601 Truxtun Ave","Bakersfield","CA",93301,"Gunshot","Pending investigation","Allegedly Armed"
"684","37","Male","Black","2/22/2016","I-95","West Haven","CT",6516,"Taser","Pending investigation","Unarmed"
"685","33","Male","Hispanic","2/22/2016","Lowell Blvd and W 35th Ave","Denver","CO",80211,"Gunshot","Pending investigation","Allegedly Armed"
"686","22","Male","White","2/22/2016","Eastview Dr","Fairborn","OH",45324,"Gunshot","Pending investigation","Unarmed"
"687","38","Male","Unknown race","2/22/2016","2905 N Conway Ave","Mission","TX",78574,"Gunshot","Pending investigation","Vehicle"
"688","32","Male","Black","2/21/2016","W Manchester Blvd and Inglewood Ave","Inglewood","CA",90301,"Gunshot","Pending investigation","Unclear"
"689","31","Female","Black","2/21/2016","W Manchester Blvd and Inglewood Ave","Inglewood","CA",90301,"Gunshot","Pending investigation","Allegedly Armed"
"690","36","Female","Native American","2/21/2016","W Indian School Rd and N 23rd Ave","Phoenix","AZ",85015,"Gunshot","Pending investigation","Allegedly Armed"
"691","47","Male","Black","2/21/2016","2100 NE 85th St","Seattle","WA",98115,"Gunshot","Pending investigation","Allegedly Armed"
"692","30","Male","Unknown race","2/20/2016","2000 W Cris Ave","Anaheim","CA",92804,"Gunshot","Pending investigation","Allegedly Armed"
"693","31","Male","Black","2/20/2016","221 E Main St","Lancaster","OH",43130,"Physical restraint","Pending investigation","Unarmed"
"694","41","Male","Black","2/20/2016","Interstate 5","Lakewood","WA",98467,"Gunshot","Pending investigation","Allegedly Armed"
"695","45","Male","White","2/20/2016","231 County Rd 201","Iuka","MS",38852,"Gunshot","Pending investigation","Allegedly Armed"
"696","23","Male","Hispanic","2/20/2016","7501 Central Ave NW","Albuquerque","NM",87121,"Gunshot","Pending investigation","Allegedly Armed"
"697","31","Male","White","2/19/2016","1709 S Side Rd","Elizabethton","TN",37643,"Gunshot","Pending investigation","Allegedly Armed"
"698","35","Male","White","2/19/2016","North St","Ogden","UT",84404,"Gunshot","Pending investigation","Allegedly Armed"
"699","25","Male","White","2/18/2016","Ashford Ln","Commerce","GA",30529,"Gunshot","Pending investigation","Unclear"
"700","18","Male","Black","2/18/2016","1666 State Hwy 268","Midway","FL",32343,"Vehicle","Pending investigation","Unarmed"
"701","32","Male","Hispanic","2/18/2016","100 W Reno Rd","Reno","TX",75462,"Gunshot","Pending investigation","Allegedly Armed"
"702","35","Male","Hispanic","2/18/2016","1100 E 4th St","Santa Ana","CA",92701,"Gunshot","Pending investigation","Unclear"
"703","30","Male","Hispanic","2/18/2016","1100 E 4th St","Santa Ana","CA",92701,"Gunshot","Pending investigation","Unclear"
"704","37","Male","Black","2/17/2016","3300 Harrison Ave","Cincinnati","OH",45211,"Gunshot","Pending investigation","Unarmed"
"705","51","Male","White","2/16/2016","22 Mountain Laurel Rd","Fairfield","CT",6824,"Gunshot","Pending investigation","Allegedly Armed"
"706","30","Male","White","2/16/2016","1513 Reeves Ave","Mena","AR",71953,"Gunshot","Pending investigation","Allegedly Armed"
"707","48","Male","White","2/16/2016","S Peachtree Ln","Republic","MO",65738,"Gunshot","Pending investigation","Vehicle"
"708","38","Male","Hispanic","2/15/2016","200 South Seventh Street","Donna","TX",78537,"Taser","Pending investigation","Unarmed"
"709","52","Male","Hispanic","2/15/2016","Madera Rd","Jal","NM",88252,"Gunshot","Pending investigation","Allegedly Armed"
"710","39","Male","White","2/15/2016","22711 Oakcrest Cir","Yorba Linda","CA",92887,"Gunshot","Pending investigation","Unclear"
"711","29","Male","Hispanic","2/14/2016","S Ferris Avenue and Whittier Boulevard","East Los Angeles","CA",90022,"Gunshot","Pending investigation","Allegedly Armed"
"712","26","Male","White","2/14/2016","6900 Kester Ave","Los Angeles","CA",91405,"Gunshot","Pending investigation","Allegedly Armed"
"713","50","Male","White","2/14/2016","4800 Bookelia Cir","Bradenton","FL",34203,"Gunshot","Pending investigation","Allegedly Armed"
"714","22","Male","Black","2/13/2016","Fairfields Ave","Baton Rouge","LA",70806,"Gunshot","Pending investigation","Allegedly Armed"
"715","19","Male","Black","2/13/2016","800 Penlan Rd","Arvonia","VA",23004,"Gunshot","Pending investigation","Unclear"
"716","23","Male","Black","2/13/2016","Texas Hwy 149","Beckville","TX",75631,"Gunshot","Pending investigation","Unarmed"
"717","29","Male","Black","2/13/2016","4800 Merle Hay Rd","Urbandale","IA",50322,"Gunshot","Pending investigation","Allegedly Armed"
"718","29","Male","Black","2/12/2016","Stanwood St and Laredo St","Boston","MA",2121,"Gunshot","Pending investigation","Allegedly Armed"
"719","32","Male","Unknown race","2/12/2016","Roosevelt Highway and Leslie Drive","College Park","GA",30337,"Vehicle","Pending investigation","Vehicle"
"720","24","Male","Black","2/12/2016","6603 Church St","Riverdale","GA",30274,"Gunshot","Pending investigation","Allegedly Armed"
"721","32","Female","Black","2/12/2016","1313 Butternut St","Syracuse","NY",13208,"Gunshot","Pending investigation","Allegedly Armed"
"722","53","Male","White","2/12/2016","7501 Camp Bowie W Blvd","Fort Worth","TX",76116,"Gunshot","Pending investigation","Allegedly Armed"
"723","30","Male","Black","2/11/2016","Stelzer Rd","Columbus","OH",43219,"Gunshot","Pending investigation","Allegedly Armed"
"724","45","Male","White","2/11/2016","2800 La Vida Dr","Lancaster","CA",93535,"Gunshot","Pending investigation","Allegedly Armed"
"725","35","Male","White","2/11/2016","601 Old Park Rd","Maiden","NC",28650,"Gunshot","Pending investigation","Allegedly Armed"
"726","68","Male","White","2/10/2016","3412 Merchant Boulevard","Abingdon","MD",21009,"Gunshot","Pending investigation","Allegedly Armed"
