"","Date.of.injury.resulting.in.death..month.day.year.","Victim.s.age","Victim.s.gender","Victim.s.race","Cause.of.death","Unarmed","city","state","zip","latitude","longitude"
"1196","3/26/16","46","Male","White","Gunshot","Allegedly Armed","Tampa","FL","33610",27.993498,-82.40914
"1197","9/6/13","24","Male","Black","Gunshot","Allegedly Armed","Tampa","FL","33610",27.993498,-82.40914
"1198","3/17/16","53","Male","Asian","Gunshot","Allegedly Armed","Tampa","FL","33611",27.891151,-82.50581
"1199","1/9/13","31","Male","Black","Gunshot","Allegedly Armed","Tampa","FL","33612",28.048595,-82.45171
"1200","3/8/16","27","Male","White","Gunshot","Unarmed","Tampa","FL","33613",28.077994,-82.44989
"1201","10/26/15","18","Male","Asian","Gunshot","Unarmed","Tampa","FL","33614",28.006247,-82.50632
"1202","3/31/15","36","Male","White","Gunshot","Allegedly Armed","Tampa","FL","33618",28.071502,-82.49392
"1203","8/30/16","22","Male","Black","Gunshot","Unarmed","Tampa","FL","33619",27.94605,-82.37525
"1204","11/27/14","45","Male","Unknown race","Gunshot","Allegedly Armed","Tampa","FL","33626",28.052799,-82.61135
"1205","9/23/13","27","Male","White","Gunshot","Allegedly Armed","Saint Petersburg","FL","33701",27.770955,-82.63931
"1206","10/17/13","31","Male","White","Gunshot","Allegedly Armed","Saint Petersburg","FL","33705",27.741306,-82.64349
"1207","10/25/13","68","Male","Unknown race","Gunshot","Allegedly Armed","Saint Petersburg","FL","33708",27.811626,-82.79321
"1208","3/10/13","43","Male","White","Gunshot","Allegedly Armed","Saint Petersburg","FL","33710",27.788637,-82.72244
"1209","7/16/13","39","Male","Black","Gunshot","Allegedly Armed","Saint Petersburg","FL","33711",27.750655,-82.6882
"1210","3/22/13","19","Female","Black","Vehicle","Vehicle","Saint Petersburg","FL","33711",27.750655,-82.6882
"1211","5/7/16","37","Male","Black","Gunshot","Allegedly Armed","Saint Petersburg","FL","33712",27.745355,-82.66572
"1212","9/7/13","46","Male","White","Gunshot","Allegedly Armed","Saint Petersburg","FL","33713",27.787904,-82.68039
"1213","4/28/13","53","Female","White","Gunshot","Allegedly Armed","Saint Petersburg","FL","33713",27.787904,-82.68039
"1214","9/2/13","23","Male","White","Gunshot","Allegedly Armed","Saint Petersburg","FL","33713",27.787904,-82.68039
